書名,著者名,発売日,ISBN,判型,ページ数
"ChatGPTと学ぶPython入門  「Python×AI」で誰でも最速でプログラミングを習得できる！
          ",熊澤 秀道,2023年11月22日,"                    9784798182230
                                      ",A5,248.0
"実務で役立つPython機械学習入門  課題解決のためのデータ分析の基礎
          ",池田 雄太郎,2023年11月16日,"                    9784798163406
                                      ",B5変,304.0
Pythonで動かして学ぶ！あたらしい線形代数の教科書,かくあき,2023年08月04日,"                    9784798178684
                                      ",A5,240.0
Python3年生 ディープラーニングのしくみ  体験してわかる！会話でまなべる！,森 巧尚,2023年08月03日,"                    9784798174983
                                      ",B5変,224.0
BERT実践入門  PyTorch + Google Colaboratoryで学ぶあたらしい自然言語処理技術,我妻 幸長,2023年07月20日,"                    9784798177816
                                      ",A5,280.0
動かして学ぶ！Python FastAPI開発入門,中村 翔,2023年06月14日,"                    9784798177229
                                      ",A5,296.0
pandasデータ処理ドリル  Pythonによるデータサイエンスの腕試し,株式会社ビープラウド,2023年03月15日,"                    9784798170862
                                      ",A5,380.0
マインクラフトでわくわく学ぶ！Pythonプログラミング入門,株式会社Nuco 梶間 悠平,2023年03月15日,"                    9784798175591
                                      ",B5,160.0
Python2年生 デスクトップアプリ開発のしくみ 体験してわかる！会話でまなべる！,森 巧尚,2022年12月19日,"                    9784798174990
                                      ",B5変,208.0
Pythonによるあたらしいデータ分析の教科書 第2版,寺田 学,2022年10月24日,"                    9784798176611
                                      ",A5,336.0
PyTorchで作る！深層学習モデル・AI アプリ開発入門,我妻 幸長,2022年09月05日,"                    9784798173399
                                      ",A5,272.0
テスト駆動Python 第2版,Brian Okken,2022年08月30日,"                    9784798177458
                                      ",A5,312.0
Python1年生 第2版  体験してわかる！会話でまなべる！プログラミングのしくみ,森 巧尚,2022年08月04日,"                    9784798170381
                                      ",B5変,200.0
Pythonで動かして学ぶ！あたらしい機械学習の教科書 第3版,伊藤 真,2022年07月19日,"                    9784798171494
                                      ",A5,440.0
Pythonで学ぶあたらしい統計学の教科書 第2版,馬場 真哉,2022年06月08日,"                    9784798171944
                                      ",A5,600.0
Python自動化簡単レシピ  Excel・Word・PDFなどの面倒なデータ処理をサクッと解決,森 巧尚,2022年05月23日,"                    9784798166124
                                      ",A5,384.0
動かして学ぶ！Python Django開発入門 第2版,大高 隆,2022年03月14日,"                    9784798174198
                                      ",A5,432.0
Python FlaskによるWebアプリ開発入門  物体検知アプリ&機械学習APIの作り方,佐藤 昌基,2022年01月24日,"                    9784798166469
                                      ",B5変,480.0
Python3年生 機械学習のしくみ  体験してわかる！会話でまなべる！,森 巧尚,2021年12月06日,"                    9784798166575
                                      ",B5変,200.0
コピペで簡単実行！キテレツおもしろ自然言語処理  PythonとColaboratoryで身につく基礎の基礎,youwht,2021年12月06日,"                    9784798170268
                                      ",B5変,208.0
スラスラわかるPython 第2版,岩崎 圭,2021年11月17日,"                    9784798169361
                                      ",A5,328.0
